2017-04-11 14:43:50 status unpacked libsemanage-common:all 2.3-1build3
2017-04-11 14:43:50 status unpacked libsemanage-common:all 2.3-1build3
2017-04-11 14:43:50 install libsemanage1:i386 <none> 2.3-1build3
2017-04-11 14:43:50 status half-installed libsemanage1:i386 2.3-1build3
2017-04-11 14:43:50 status unpacked libsemanage1:i386 2.3-1build3
2017-04-11 14:43:50 status unpacked libsemanage1:i386 2.3-1build3
2017-04-11 14:43:50 install libsepol1:i386 <none> 2.4-2
2017-04-11 14:43:50 status half-installed libsepol1:i386 2.4-2
2017-04-11 14:43:50 status unpacked libsepol1:i386 2.4-2
2017-04-11 14:43:50 status unpacked libsepol1:i386 2.4-2
2017-04-11 14:43:50 install libsmartcols1:i386 <none> 2.27.1-6ubuntu3
2017-04-11 14:43:50 status half-installed libsmartcols1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:50 status unpacked libsmartcols1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:50 status unpacked libsmartcols1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:50 install libss2:i386 <none> 1.42.13-1ubuntu1
2017-04-11 14:43:50 status half-installed libss2:i386 1.42.13-1ubuntu1
2017-04-11 14:43:50 status unpacked libss2:i386 1.42.13-1ubuntu1
2017-04-11 14:43:50 status unpacked libss2:i386 1.42.13-1ubuntu1
2017-04-11 14:43:50 install libsystemd0:i386 <none> 229-4ubuntu4
2017-04-11 14:43:50 status half-installed libsystemd0:i386 229-4ubuntu4
2017-04-11 14:43:50 status unpacked libsystemd0:i386 229-4ubuntu4
2017-04-11 14:43:50 status unpacked libsystemd0:i386 229-4ubuntu4
2017-04-11 14:43:50 install libtinfo5:i386 <none> 6.0+20160213-1ubuntu1
2017-04-11 14:43:50 status half-installed libtinfo5:i386 6.0+20160213-1ubuntu1
2017-04-11 14:43:50 status unpacked libtinfo5:i386 6.0+20160213-1ubuntu1
2017-04-11 14:43:50 status unpacked libtinfo5:i386 6.0+20160213-1ubuntu1
2017-04-11 14:43:50 install libudev1:i386 <none> 229-4ubuntu4
2017-04-11 14:43:50 status half-installed libudev1:i386 229-4ubuntu4
2017-04-11 14:43:50 status unpacked libudev1:i386 229-4ubuntu4
2017-04-11 14:43:50 status unpacked libudev1:i386 229-4ubuntu4
2017-04-11 14:43:50 install libustr-1.0-1:i386 <none> 1.0.4-5
2017-04-11 14:43:50 status half-installed libustr-1.0-1:i386 1.0.4-5
2017-04-11 14:43:50 status unpacked libustr-1.0-1:i386 1.0.4-5
2017-04-11 14:43:50 status unpacked libustr-1.0-1:i386 1.0.4-5
2017-04-11 14:43:50 install libuuid1:i386 <none> 2.27.1-6ubuntu3
2017-04-11 14:43:50 status half-installed libuuid1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:50 status unpacked libuuid1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:50 status unpacked libuuid1:i386 2.27.1-6ubuntu3
2017-04-11 14:43:50 install locales:all <none> 2.23-0ubuntu3
2017-04-11 14:43:50 status half-installed locales:all 2.23-0ubuntu3
2017-04-11 14:43:52 status unpacked locales:all 2.23-0ubuntu3
2017-04-11 14:43:52 status unpacked locales:all 2.23-0ubuntu3
2017-04-11 14:43:52 install login:i386 <none> 1:4.2-3.1ubuntu5
2017-04-11 14:43:52 status half-installed login:i386 1:4.2-3.1ubuntu5
2017-04-11 14:43:52 status unpacked login:i386 1:4.2-3.1ubuntu5
